name,date,text
PRF apreende 5 adolescentes que tentavam assaltar caminhoneiros no Paraná,03/10/2023 10h20,"Na noite de segunda (2), por volta das 21 horas, vários motoristas de caminhão relataram à policiais rodoviários federais que estavam sendo vítimas de assaltantes, que atiravam pedras para forçarem a parada dos veículos e, com isso, procederam aos assaltos. As ocorrências foram registradas na BR-116, na altura do município de Piraquara (PR). Diante das informações, uma equipe da PRF realizou rondas pelo local indicado, sendo que, ao chegarem, foram recebidos à pedradas. Imediatamente, os policiais iniciaram a abordagem, quando o grupo se dispersou em meio a uma área de vegetação. Após buscas, cinco adolescentes foram encontrados com diversas pedras à disposição. Três de 15 anos, um de 13 e um de 12 foram apreendidos e encaminhados para o conselho tutelar local. Os adolescentes poderão responder por ato infracional de dano. Nenhum motorista foi assaltado. A PRF orienta aos motoristas vítimas desse tipo de crime que não parem; procurem um local iluminado e liguem para o telefone 191, com a maior quantidade de informações para que seja possível a localização dos criminosos e a detenção."
PRF realiza 7º Leilão Virtual de Veículos 2023 no Paraná,26/09/2023 10h00,"A Polícia Rodoviária Federal (PRF) no Paraná realiza leilão virtual de veículos retidos, abandonados, removidos ou recolhidos a qualquer título, inclusive com restrição judicial, que se encontrem há mais de 60 dias nos pátios das Unidades Operacionais vinculadas à PRF no estado. As sessões públicas de lotes de veículos conservados, que podem voltar à circulação, e de sucata, com motor aproveitável e inservível, são realizadas exclusivamente no sistema eletrônico ""on-line"" (internet) no site  https://www.kronbergleiloes.com.br. Os veículos considerados conservados, podem retornar a circular em via pública após pagamento das respectivas taxas e recolocados em circulação após revisão técnica exigida pelo órgão de trânsito, não havendo relação alguma com sua conservação visual e aparência estética de sua lataria e demais equipamentos. As sucatas são veículos que estão impedidos de circulação em vias públicas, se destinam exclusivamente ao desmonte e ao reaproveitamento de suas peças e só podem ser adquiridas por pessoas jurídicas previamente cadastradas.  Próximas seções públicas: 30 de setembro (circulação) e 07 de outubro (sucata). Serão leiloados veículos recolhidos na região de Londrina e Maringá. 79 veículos conservados para circulação com lances mínimos entre R$ 280,00 a R$ 5.800,00. 74 sucatas com lances mínimos entre R$ 5,00 e R$ 4.000,00.    "
PRF apreende cargas de cigarros e vinho contrabandeados no Paraná,25/09/2023 14h08,"Em duas ações no Paraná, a Polícia Rodoviária Federal (PRF) apreendeu quase meio milhão de maços de cigarros e 3,6 mil garrafas de vinho contrabandeados. Um carregamento de 125 mil maços de cigarros e 3,6 mil garrafas de vinho foi apreendido com apoio da Polícia Federal, em Pato Branco/PR, nesta segunda-feira (25).  A equipe PRF estava em fiscalização na BR-158, quando deu a ordem de parada ao condutor da carreta, que desobedeceu. Ele fugiu por cerca de 10 quilômetros, colocando transitando em alta velocidade e, por vezes, na contramão, até que perdeu o controle de direção e bateu em um galpão na zona rural. Após a batida ele conseguiu escapar a pé. A carga e a carreta foram apreendidas e encaminhadas à Receita Federal. No sábado (23), na BR 369, em Campo Mourão, os policiais rodoviários federais faziam fiscalização a veículos de carga quando abordaram um bitrem. Ao verificarem o conteúdo da carga, que supostamente seria de milho, descobriram que os semi-reboques estavam carregados com aproximadamente 450.000 maços de cigarros contrabandeados do Paraguai. O condutor, de 54 anos, disse que saiu de Mundo Novo/MS e que levaria a carga para Sorocaba/SP. Ele foi preso em flagrante, encaminhado à Polícia Federal de Maringá e poderá responder pelo crime de contrabando.    "
PRF realiza 4º passeio ciclístico no Paraná,25/09/2023 10h33,"
 No domingo (24), aconteceu em Curitiba (PR) o 4º Passeio Ciclístico da Polícia Rodoviária Federal (PRF) no Paraná, reunindo cerca de 500 ciclistas de diferentes faixas etárias. O evento teve um enfoque solidário, com a arrecadação de aproximadamente meia tonelada de alimentos não perecíveis destinados à Comunidade Nossa Senhora Aparecida, situada na Vila Torres e vinculada à Paróquia São João Batista.
 
  
 Os participantes foram encorajados a contribuir com doações de alimentos, sendo que cerca de 200 camisetas do evento foram distribuídas aos primeiros doadores de alimentos. A solidariedade foi um dos principais elementos do passeio, combinando a prática do ciclismo com a preocupação com o bem-estar da comunidade.
 
  
 Além disso, durante o evento, foram realizados diversos sorteios, com prêmios que incluíram acessórios para bicicletas, brindes de parceiros locais e uma experiência especial: um passeio na aeronave da PRF. Este voo levou um pai e sua filha do local do passeio até o Aeroporto do Bacacheri, proporcionando-lhes a oportunidade de sobrevoar Curitiba e criando uma experiência memorável.
 
  
 O 4º Passeio Ciclístico da PRF no Paraná não apenas celebrou o ciclismo e a conscientização no trânsito, mas também demonstrou como a solidariedade pode ser incorporada em eventos esportivos, beneficiando a comunidade. O evento, que fará parte do calendário anual da instituição, continua a crescer, fortalecendo os laços na comunidade e promovendo importantes mensagens relacionadas à segurança viária e empatia.
 
  
 Para acessar as imagens do evento, clique
 
  
   aqui
  
 
 .
"
Cigarros eram contrabandeados dentro de carcaças de pneus,22/09/2023 13h55,"A Polícia Rodoviária Federal (PRF) apreendeu na quinta-feira (21), na BR-487, em Alto Paraíso/PR, uma carga de cigarros que eram contrabandeados dentro de carcaças de pneus.  O caminhão foi parado para fiscalização e o motorista informou que transportava carcaças de pneus que buscou em Ponta Porã (MS), e que inclusive teria acompanhado o carregamento do baú do veículo. Ao conferirem a carga, os policiais descobriram que dentro das carcaças haviam diversos pacotes de cigarros - 50 mil no total.  No interior da cabine do caminhão, os policiais encontraram um papelote com seis gramas de cocaína e diversos comprimidos de um medicamento utilizado como rebite, que tem uso proibido no Brasil, pois possui anfetamina na composição.  O motorista, de 35 anos, foi preso e poderá responder pelos crimes de contrabando e porte de droga para consumo. O seu destino final da carga seria a cidade de Colombo/PR.  "
PRF localiza carga de maconha em meio à porta-retratos,22/09/2023 12h04,"Quase uma tonelada e meia de maconha foi apreendida pela Polícia Rodoviária Federal (PRF), nesta quinta-feira (21), na BR 369, em Campo Mourão/PR. A droga era transportada em um caminhão baú, em meio a uma carga de porta-retratos.  O motorista recebeu ordem de parada numa fiscalização a veículos de carga, mas não parou, fugiu para uma estrada rural onde abandonou o caminhão e escapou a pé pela mata. Ao verificarem a carga do baú do caminhão, os policiais encontraram os diversos fardos de maconha, que totalizaram 1.433 quilos.  "
PRF apreende 204 quilos de capulho de maconha no Paraná,22/09/2023 11h24,"A Polícia Rodoviária Federal (PRF) apreendeu 204 quilos de capulho de maconha na madrugada desta sexta-feira (22), em Santa Terezinha de Itaipu/PR.  O capulho é a maconha ainda não prensada, com melhor seleção da planta, sendo traficada por valores até 20 vezes superiores. Muito mais alucinógeno, o uso do capulho está associado a acidentes por falta de atenção, graves efeitos no funcionamento do coração, do pulmão e do cérebro. A ocorrência teve início por volta das 2 horas na Unidade Operacional na BR-277, quando policiais rodoviários federais deram ordem de parada ao motorista de um automóvel. O homem não obedeceu e seguiu em alta velocidade na rodovia.  A equipe da PRF acompanhou o carro, até que o motorista jogou o veículo para a vegetação marginal e correu para o matagal. No automóvel, os policiais encontraram uma grande quantidade de sacos, contendo 204 quilos de capulho de maconha. "
"Em 8 meses e meio, PRF já apreendeu mais drogas do que em todo 2022 no Paraná",22/09/2023 08h02,"
 Com um trabalho de fiscalização orientado por inteligência, com a utilização de tecnologias e aprimorando o planejamento operacional, a Polícia Rodoviária Federal no Paraná conseguiu ultrapassar os números de apreensões de drogas e armas de 2022 faltando quase quatro meses para o fim do ano.
 
 O resultado alcançado reflete uma tendência já registrada no primeiro quadrimestre. Os números de apreensões de maconha, crack e cocaína, superam até mesmo a média de apreensões de 2013 a 2022.
 
 Ao todo, até a metade de setembro, foram apreendidas 135 toneladas de drogas e 155 armas de fogo.
 
 ""Faltando mais de três meses para o ano acabar, a PRF já apreendeu mais drogas e armas do que em todo ano de 2022 no Paraná. Esse grande resultado demonstra que, ao mesmo tempo em que priorizamos também a segurança viária, não deixamos em segundo plano o combate ao crime"", explica o superintendente da PRF no estado, Fernando César Oliveira.
 
 A PRF também tem se dedicado no estado para preservar a vida nas rodovias, aumentando a fiscalização e a realização de atividades de educação de trânsito, conforme expõe Oliveira: ""Nossos esforços de fiscalização de trânsito também estão bem acima em relação ao passado. Praticamente dobramos as horas de operação de radar portátil, equipamento fundamental para controlar a velocidade e aumentar as condições de segurança em nossas rodovias. Segurança no trânsito e combate a crimes como tráfico de drogas e armas são atividades complementares para a PRF, não excludentes.""
 
  
 Série histórica (2013 a 15/9/2023)
 
  
  
 
  
 
"
"Após assalto, PRF recupera carros e arma e prende criminosos",20/09/2023 09h47,"A Polícia Rodoviária Federal (PRF), com apoio da Polícia Militar do Paraná (PMPR), recuperou, na noite desta terça-feira (20), um veículo que havia sido roubado minutos antes em Foz do Iguaçu/PR. Na ação, foram recuperados outros dois carros e uma arma de fogo usados no assalto e presos três assaltantes. Por volta das 18h30, equipes da PRF receberam informações de que um veículo roubado circulava nas proximidades da delegacia PRF. Um policial rodoviário federal de folga, que estava na região, viu o carro e deu ordem de parada aos ocupantes. Os homens saíram correndo, entraram em outros dois carros que estavam próximos e fugiram. Outras equipes PRF realizaram buscas na região e encontraram os dois carros que estavam envolvidos no assalto e prenderam três assaltantes, no Parque Presidente. Equipes da PMPR prestaram auxílio na captura dos criminosos.  Dentro de um dos carros, os policiais encontraram uma arma calibre 12 e cinco cartuchos. Os ocupantes haviam abandonado os veículos ao verem viaturas policiais circulando em sua busca.  Imagens de uma câmera de segurança mostram o momento em que a vítima foi roubada pelos quatro criminosos, no cruzamento das avenidas Paraná e José Maria de Brito, centro de Foz do Iguaçu.   "
PRF apreende mais de 3 mil litros de vinho importados ilegalmente no Paraná,19/09/2023 14h41,"Na segunda (18), por volta das 9 horas, policiais rodoviários federais do grupo de motociclistas, durante ronda pela BR-476, na região do município da Lapa (PR), observou que um caminhão, estacionado no pátio de um posto de combustíveis às margens da rodovia, que estava, aparentemente, abandonado, com suas portas abertas.Em fiscalização ao veículo, os policiais observaram que estava carregado com cigarros e vinhos importados irregularmente. Cerca de 3,9 mil garrafas de diversos vinhos e mais de 130 mil maços de cigarros foram apreendidos.  Ninguém foi encontrado no local. Os ilícitos foram depositados na Receita Federal. Assista:   "
